Exact Match,FishStatNameID,Taxon Key,FishStatName,FishStatTaxaName,CommonName,Matching Name,Fixed,Notes,Group,Order,Species,Genus,Totalmt,Capture,Aquaculture,Trade,Canada
1,273,600400,Bigeye grunt,Bigeye grunt,Bigeye grunt,Bigeye grunt,,,,,,,1186267,1,0,0,0
1,274,600387,Bigeye scad,Bigeye scad,Bigeye scad,Bigeye scad,,,,,,,3883356,1,0,0,0
1,275,602534,Bigeye thresher,Bigeye thresher,Bigeye thresher,Bigeye thresher,,,,,,,2120,1,0,0,0
1,276,601917,Bigeye trevally,Bigeye trevally,Bigeye trevally,Bigeye trevally,,,,,,,1058,1,0,0,0
1,277,600146,Bigeye tuna,Bigeye tuna,Bigeye tuna,Bigeye tuna,,,,,,,15581587,1,0,0,1
1,278,600146,"Bigeye tuna, fresh or chilled",Bigeye tuna,Bigeye tuna,Bigeye tuna,,,,,,,617568,0,0,1,0
1,279,600146,"Bigeye tuna, frozen, nei","Bigeye tuna, frozen,",Bigeye tuna,Bigeye tuna,,,,,,,8776211,0,0,1,0
1,280,600146,"Bigeye tuna, gilled, gutted, frozen","Bigeye tuna, gilled, gutted, frozen",Bigeye tuna,Bigeye tuna,,,,,,,305,0,0,1,0
1,281,600146,"Bigeye tuna, heads-off, etc., frozen","Bigeye tuna, heads-off, etc., frozen",Bigeye tuna,Bigeye tuna,,,,,,,1357,0,0,1,0
1,282,500912,Bigeyes nei,Bigeyes,Bigeyes,Bigeyes,,,,,,,2686905,1,0,0,0
1,283,690670,Bigfin reef squid,Bigfin reef squid,Bigfin reef squid,Bigfin reef squid,,,,,,,128569,1,0,0,0
1,284,609908,Biglip grunt,Biglip grunt,Biglip grunt,Biglip grunt,,,,,,,37,1,0,0,0
1,285,654032,Bignose fanskate,Bignose fanskate,Bignose fanskate,Bignose fanskate,,,,,,,93,1,0,0,0
0,286,601696,Big-scale sand smelt,Big-scale sand smelt,Big-scale sand smelt,Bigscale sand smelt,1,,,,,,64917.11,1,1,0,0
1,287,612357,Bigspined boarfish,Bigspined boarfish,Bigspined boarfish,Bigspined boarfish,,,,,,,37,1,0,0,0
1,288,601179,Bigtooth corvina,Bigtooth corvina,Bigtooth corvina,Bigtooth corvina,,,,,,,697,1,0,0,0
1,289,600670,Birdbeak dogfish,Birdbeak dogfish,Birdbeak dogfish,Birdbeak dogfish,,,,,,,2642,1,0,0,0
0,290,290004,"Bivalves nei, frozen","Bivalves, frozen",Bivalves,Clams,1,,,,,,308394,0,0,1,0
0,291,290004,"Bivalves, live, fresh or chilled, nei","Bivalves, live,",Bivalves,Clams,1,,,,,,234953,0,0,1,0
1,292,601470,Black and Caspian Sea sprat,Black and Caspian Sea sprat,Black and Caspian Sea sprat,Black and Caspian Sea sprat,,,,,,,2823656,1,0,0,0
0,293,,Black ark,Black ark,Black ark,Black ark,-1,Anadara tuberculosa,,,,,0,0,1,0,0
1,294,602508,Black cardinal fish,Black cardinal fish,Black cardinal fish,Black cardinal fish,,,,,,,59524,1,0,0,0
0,295,,Black corals and thorny corals,Black corals and thorny corals,Black corals and thorny corals,Black corals and thorny corals,-1,Order Antipatharia,,,,,0.15,1,0,0,0
0,296,600484,Black cusk-eel,Black cusk-eel,Black cusk-eel,Black cuskeel,1,,,,,,78400,1,0,0,0
1,297,600656,Black dogfish,Black dogfish,Black dogfish,Black dogfish,,,,,,,890,1,0,0,0
1,298,603920,Black driftfish,Black driftfish,Black driftfish,Black driftfish,,,,,,,54,1,0,0,0
